# Pure Hydrogen Grid from http://www.astro.umontreal.ca/~bergeron/CoolingModels/
# Teff,log g,Mass,Abs V,BCv,Abs Bol,Abs G
10500,9,1.197,13.792,-0.431,13.361,13.781
11000,9,1.197,13.64,-0.482,13.159,13.643
11500,9,1.197,13.509,-0.544,12.965,13.523
12000,9,1.198,13.398,-0.618,12.78,13.42
12500,9,1.198,13.302,-0.699,12.603,13.33
13000,9,1.198,13.217,-0.785,12.432,13.25
13500,9,1.198,13.145,-0.877,12.268,13.181
14000,9,1.199,13.087,-0.977,12.11,13.126
14500,9,1.199,13.04,-1.082,11.957,13.081
15000,9,1.199,12.993,-1.183,11.81,13.036
15500,9,1.199,12.943,-1.276,11.667,12.988
16000,9,1.199,12.892,-1.363,11.529,12.938
16500,9,1.2,12.841,-1.446,11.395,12.886
17000,9,1.2,12.791,-1.526,11.266,12.836
20000,9,1.201,12.52,-1.961,10.558,12.549
25000,9,1.204,12.128,-2.541,9.587,12.136
30000,9,1.206,11.759,-2.966,8.794,11.745
35000,9,1.205,11.483,-3.358,8.125,11.45
40000,9,1.208,11.305,-3.762,7.543,11.263
45000,9,1.21,11.175,-4.146,7.029,11.128
50000,9,1.212,11.071,-4.502,6.57,11.02
55000,9,1.214,10.983,-4.829,6.154,10.928
60000,9,1.217,10.905,-5.131,5.774,10.847
65000,9,1.22,10.834,-5.411,5.423,10.774
70000,9,1.222,10.77,-5.67,5.099,10.708
75000,9,1.224,10.711,-5.913,4.798,10.648
80000,9,1.226,10.656,-6.14,4.516,10.591
85000,9,1.228,10.604,-6.353,4.251,10.538
90000,9,1.229,10.555,-6.554,4.002,10.489
# Pure Helium Grid from http://www.astro.umontreal.ca/~bergeron/CoolingModels/
# Teff,log g,Mass,Abs V,BCv,Abs Bol,Abs G
3250,7,0.149,16.578,-0.863,15.714,15.899
3500,7,0.15,16.071,-0.684,15.387,15.489
3750,7,0.151,15.676,-0.593,15.084,15.146
4000,7,0.151,15.22,-0.423,14.797,14.784
4250,7,0.152,14.852,-0.325,14.527,14.475
4500,7,0.153,14.524,-0.253,14.271,14.193
4750,7,0.155,14.223,-0.196,14.026,13.932
5000,7,0.157,13.945,-0.153,13.791,13.688
5250,7,0.159,13.686,-0.123,13.564,13.458
5500,7,0.161,13.444,-0.099,13.345,13.24
5750,7,0.164,13.216,-0.083,13.133,13.033
6000,7,0.167,13.005,-0.074,12.931,12.839
6250,7,0.169,12.809,-0.07,12.739,12.659
6500,7,0.171,12.628,-0.071,12.556,12.491
6750,7,0.173,12.458,-0.078,12.38,12.331
7000,7,0.175,12.298,-0.089,12.209,12.181
7500,7,0.18,12.002,-0.121,11.882,11.901
8000,7,0.184,11.741,-0.168,11.574,11.651
8500,7,0.189,11.514,-0.231,11.283,11.433
9000,7,0.194,11.305,-0.298,11.007,11.231
9500,7,0.199,11.116,-0.371,10.745,11.047
10000,7,0.202,10.95,-0.448,10.503,10.886
11000,7,0.208,10.662,-0.604,10.058,10.603
12000,7,0.214,10.414,-0.762,9.652,10.36
13000,7,0.219,10.19,-0.911,9.279,10.14
14000,7,0.224,9.983,-1.05,8.932,9.937
15000,7,0.229,9.789,-1.18,8.609,9.749
16000,7,0.234,9.612,-1.307,8.305,9.578
17000,7,0.238,9.457,-1.436,8.021,9.428
18000,7,0.238,9.345,-1.572,7.773,9.319
19000,7,0.243,9.234,-1.716,7.518,9.211
20000,7,0.247,9.15,-1.876,7.275,9.129
21000,7,0.252,9.1,-2.058,7.042,9.079
22000,7,0.257,9.057,-2.237,6.82,9.036
23000,7,0.261,9.005,-2.398,6.608,8.983
24000,7,0.266,8.935,-2.532,6.403,8.91
25000,7,0.271,8.86,-2.654,6.206,8.832
26000,7,0.276,8.785,-2.768,6.016,8.755
27000,7,0.281,8.711,-2.878,5.833,8.679
28000,7,0.286,8.64,-2.983,5.656,8.606
29000,7,0.291,8.569,-3.084,5.485,8.533
30000,7,0.296,8.5,-3.18,5.319,8.462
31000,7,0.301,8.431,-3.273,5.158,8.392
32000,7,0.306,8.363,-3.361,5.002,8.322
33000,7,0.311,8.296,-3.445,4.851,8.254
34000,7,0.316,8.23,-3.526,4.704,8.187
35000,7,0.321,8.164,-3.603,4.561,8.119
36000,7,0.326,8.098,-3.677,4.421,8.052
37000,7,0.331,8.032,-3.746,4.286,7.985
38000,7,0.336,7.965,-3.811,4.154,7.917
39000,7,0.341,7.897,-3.872,4.026,7.848
40000,7,0.346,7.827,-3.927,3.9,7.776
42500,7,0.358,7.653,-4.052,3.601,7.599
45000,7,0.369,7.399,-4.08,3.319,7.339
47500,7,0.38,7.264,-4.212,3.052,7.199
50000,7,0.39,7.193,-4.393,2.8,7.126
52500,7,0.4,7.132,-4.572,2.561,7.064
55000,7,0.41,7.076,-4.743,2.333,7.007
57500,7,0.419,7.022,-4.906,2.116,6.952
60000,7,0.427,6.97,-5.06,1.91,6.899
65000,7,0.443,6.866,-5.344,1.522,6.794
70000,7,0.458,6.765,-5.599,1.166,6.692
3250,7.5,0.313,17.105,-0.943,16.162,16.414
3500,7.5,0.313,16.58,-0.741,15.839,15.99
3750,7.5,0.313,16.126,-0.588,15.538,15.619
4000,7.5,0.313,15.716,-0.459,15.257,15.278
4250,7.5,0.314,15.346,-0.354,14.993,14.967
4500,7.5,0.314,15.014,-0.271,14.743,14.684
4750,7.5,0.315,14.717,-0.211,14.506,14.428
5000,7.5,0.316,14.446,-0.166,14.281,14.191
5250,7.5,0.316,14.199,-0.133,14.066,13.971
5500,7.5,0.317,13.97,-0.11,13.86,13.767
5750,7.5,0.319,13.758,-0.096,13.662,13.574
6000,7.5,0.321,13.557,-0.087,13.471,13.392
6250,7.5,0.322,13.372,-0.084,13.288,13.222
6500,7.5,0.323,13.201,-0.087,13.114,13.063
6750,7.5,0.324,13.04,-0.093,12.947,12.914
7000,7.5,0.325,12.89,-0.104,12.786,12.773
7500,7.5,0.327,12.616,-0.135,12.481,12.514
8000,7.5,0.329,12.373,-0.179,12.194,12.283
8500,7.5,0.331,12.165,-0.241,11.924,12.084
9000,7.5,0.333,11.974,-0.304,11.669,11.899
9500,7.5,0.335,11.803,-0.375,11.428,11.734
10000,7.5,0.337,11.649,-0.451,11.199,11.584
11000,7.5,0.341,11.38,-0.607,10.773,11.321
